PREFERRED_NAME,MoleculeID,LogP_pred,MP_pred,BP_pred,LogVP_pred,LogWS_pred,LogHL_pred,RT_pred,LogKOA_pred,LogD55_pred,LogD74_pred,LogOH_pred,LogKoc_pred,nbAtoms,nbHeavyAtoms,nbC,nbO,nbN,nbAromAtom,nbRing,nbHeteroRing,Sp3Sp2HybRatio,nbRotBd,nbHBdAcc,ndHBdDon,nbLipinskiFailures,TopoPolSurfAir,MolarRefract,CombDipolPolariz,MolWeight,LogBCF_pred,BioDeg_LogHalfLife_pred,ReadyBiodeg_pred,LogKM_pred,FUB_pred,Clint_pred
"1,1,1,2-Tetrafluoroethane",DTXSID1021324,0.8270400616424,-102.840618466223,-22.6059306942822,3.53932910126675,-2.9184767381374,-1.30882539064276,1.07775438446407,0.036410005564232,0.8270400616424,0.8270400616424,-14.2416878755753,1.60262244675705,8,6,2,0,0,0,0,0,1,1,0,0,0,0,12.0193,-0.02,102.009262944,1.14072056260761,0.879337489323297,1,-1.01882314219488,0.938952944206705,1.12611527217087
"1,1,1-Trichloro-2,2,2-trifluoroethane",DTXSID5027148,2.57739421056106,-15.002822757036,48.8067108661537,2.76505351752178,-2.22618047700201,-0.825877562284005,11.5260837420169,2.2940884015316,2.57739421056106,2.57739421056106,-15.2761761289806,1.86177554305832,8,8,2,0,0,0,0,0,1,1,0,0,0,0,27.3736,0.089,185.9017677,1.21924485054912,0.879335513627268,0,1.10017825688216,0.682391690178982,1.05375296276691
"1,2-Difluoro-1,1,2,2-tetrachloroethane",DTXSID5026091,3.0423226822808,24.5861185450105,91.1832355319591,1.87853252301883,-3.07588242614688,-0.782740328827938,12.0768229447554,3.71029733880707,3.0423226822808,3.0423226822808,-14.523127426187,1.99487958669185,8,8,2,0,0,0,0,0,1,1,0,0,0,0,32.2084,0.363,201.87221716,1.65191053767174,1.14799894968294,0,0.680101387646064,0.505782778261368,1.1277958236752
"1,1,2,2-Tetrachloroethane",DTXSID7021318,2.35009906482575,-39.8643481129649,147.58205180853,0.862775586388694,-1.754302674125,-3.30041592096439,10.6835094650102,3.46420398994553,2.35009906482575,2.35009906482575,-12.8848995367447,1.89434693594967,8,6,2,0,0,0,0,0,1,1,0,0,0,0,30.7638,0.577,165.891060784,1.07137748049883,1.1621602832012,0,-0.678152708694095,0.101371485989778,1.04923200885274
"1,1,2-Trichloro-1,2,2-trifluoroethane",DTXSID6021377,2.96633762707714,-44.2253510529034,50.5600725146944,2.68297359340086,-2.99432908072728,-1.08195255032696,8.32281676966998,2.81868954048612,2.96633762707714,2.96633762707714,-15.2925941003806,1.86177488081383,8,8,2,0,0,0,0,0,1,1,0,0,0,0,27.3736,0.239,185.9017677,1.62460112092939,0.67062719737405,0,1.08785497133003,0.872214410216869,1.05375296276691
"1,1,2-Trichloroethane",DTXSID5021380,1.86942460010721,-37.8806335228454,117.259792192096,1.62677363373513,-1.53184220330658,-2.97600446664399,2.77998137783879,3.23420917940764,1.86942460010721,1.86942460010721,-13.0877729462116,1.9230642499903,8,5,2,0,0,0,0,0,1,1,0,0,0,0,25.7097,0.509,131.930033136,0.772742388806663,0.652808418682107,0,-0.998721184872928,0.34683772104081,1.08888546466623
Azodicarbonamide,DTXSID0024553,-1.53542520932082,157.919843331901,257.099062290909,-9.43953622547442,-1.18685215832979,-8.33765044271487,0,7.83940325618937,-1.55198933008102,-2.14694755450447,-12.0956383837491,1.59453938911241,12,8,2,2,4,0,0,0,0,2,6,2,0,110.9,19.8852,1.288,116.033425368,0.376413458948073,0.786798883612379,1,-0.922175134250999,0.818906934998319,-0.989896648255308
"1,1-Dichloro-1-fluoroethane",DTXSID2020422,1.84089764589273,-92.6108569118519,38.4899729097782,2.67551550996147,-2.07000404338276,-2.99602344284936,3.56352549119932,2.21630489745759,1.84089764589273,1.84089764589273,-14.1119752100752,1.73703850078695,8,5,2,0,0,0,0,0,1,0,0,0,0,0,21.3825,0.245,115.959583676,1.44366302310831,0.920963771915776,0,-0.722672988169936,0.733411889847158,1.08453974800489
"1,1-Dichloroethane",DTXSID1020437,1.76524432767283,-81.1766212789264,60.0810831003925,2.31827303654383,-1.32493564618594,-2.10618340516624,0,2.18917506386995,1.76524432767283,1.76524432767283,-12.5504001072124,1.51612997284589,8,4,2,0,0,0,0,0,1,0,0,0,0,0,20.6602,0.352,97.969005488,0.815030729240348,0.805219225710948,0,-0.914333238533501,0.476346215455078,1.12860553052417
"1,1-Difluoroethane",DTXSID0024050,0.692050288485444,-121.19273488411,-19.8107453671639,3.54895705364429,-1.3756582206088,-1.65498517258802,0,0.468952780329282,0.692050288485444,0.692050288485444,-13.4409727051642,1.29870620078485,8,4,2,0,0,0,0,0,1,0,0,0,0,0,10.8232,0.104,66.028106568,1.00759159628363,0.879270243253377,1,-0.937491982572081,0.977644105041734,1.14490897113497
"1,1-Dimethylhydrazine",DTXSID1020516,-0.745388299436546,-54.9020273372577,65.001239516926,2.35224353627838,1.20668890130127,-5.8906259478982,0,2.69048897775289,-2.30743567330957,-0.905754428190378,-10.9582408389567,0.964345636230435,12,4,2,0,2,0,0,0,1,0,2,1,0,29.26,19.5755,0.127,60.068748256,0.187610712098003,0.876381679593666,0,-1.04963383290934,0.951108144162369,1.13989940281702
"1,2,3,4,6,7,8-Heptachlorodibenzodioxin",DTXSID1052034,8.14190458904709,262.847812093973,439.834332060558,-10.2170567331338,-11.2200382639161,-4.9034218189088,26.4042929758386,10.4717367711117,8.14190458904709,8.14190458904709,-11.6123127417734,6.23299310946795,22,21,12,2,0,12,3,1,0,0,0,0,0,18.46,42.5474,2.332,421.779623032,3.68599720970427,1.9093054033028,0,1.21551004597673,0.002267315602672,-1.94427961349353
"1,2,3,4,6,7,8-Heptachlorodibenzodioxin",DTXSID1052034,8.14190458904709,262.847812093973,439.834332060558,-10.2170567331338,-11.2200382639161,-4.9034218189088,26.4042929758386,10.4717367711117,8.14190458904709,8.14190458904709,-11.6123127417734,6.23299310946795,22,21,12,2,0,12,3,1,0,0,0,0,0,18.46,42.5474,2.332,421.779623032,3.68599720970427,1.9093054033028,0,1.21551004597673,0.002267315602672,-1.94427961349353
"1,2,3,5-Tetrachlorobenzene",DTXSID1026089,4.56968439439086,77.6754176065512,247.79663178834,-1.4266961592239,-4.84503227158994,-2.8839327687522,15.0586469659007,5.6546943636785,4.56968439439086,4.56968439439086,-12.2837483779708,3.62237695596578,12,10,6,0,0,6,1,0,0,0,0,0,0,0,22.4624,0.909,213.891060784,3.45753213323117,0.597782982434365,0,1.34207342230562,0.016493859722705,1.14364156782801
"1,2,3-Trichlorobenzene",DTXSID8026193,4.02636820330341,47.2885599633357,214.225870664503,-0.644035768493816,-3.97292428082537,-2.87170222650051,12.6374136021655,5.01252393489973,4.02636820330341,4.02636820330341,-12.283540731234,3.25119105855131,12,9,6,0,0,6,1,0,0,0,0,0,0,0,16.8468,0.852,179.930033136,2.93923608366649,0.611312222946968,0,1.10880721289726,0.020347335017996,0.94153321439953
"1,2,3-Trichloropropane",DTXSID9021390,2.27666036316548,-29.7646834023084,147.269926679439,0.796556203609615,-1.84437763877058,-3.43681011113085,4.74617902374207,3.46649882404283,2.27666036316548,2.27666036316548,-12.4069750363717,2.40553717973209,11,6,3,0,0,0,0,0,1,2,0,0,0,0,29.6691,0.559,145.9456832,1.07628694924953,0.662126788571542,0,-0.635159860374101,0.475602429396606,1.08666103592735
"1,2,4-Trichlorobenzene",DTXSID0021965,3.9730753792158,40.1214064355463,212.824718729227,-0.436540768995111,-3.95080897765408,-2.83648856558942,11.3452611115036,5.05433784575864,3.9730753792158,3.9730753792158,-12.2702758547191,3.20758770104729,12,9,6,0,0,6,1,0,0,0,0,0,0,0,16.8468,0.895,179.930033136,3.05356428221211,0.587388235012174,0,1.19087615954294,0.026780658800521,1.2190698225465
"1,2-Dichloro-1,1,2-trifluoroethane",DTXSID1042021,2.28728615000392,-90.6706300347506,32.1381676827297,2.86570389308029,-2.59287025376487,-1.49279580154777,5.61646971364027,2.11170302236659,2.28728615000392,2.28728615000392,-13.8113346599443,1.9126747468621,8,7,2,0,0,0,0,0,1,1,0,0,0,0,21.7328,0.222,151.940740052,1.31124690879361,0.564825400892504,0,-0.158416279922154,0.874317234099095,1.06642326695312
